Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Congo, Dem. Rep.",COD,..,..,..,..,0.267769992351532,0.0579899996519089,0.0604400001466274,0.136089995503426,0.0825299993157387,0.0782200023531914,..,..,..,..,..,0.406379997730255,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Costa Rica,CRI,0.411350011825562,..,..,0.361900001764297,0.372880011796951,..,0.426930010318756,0.356550008058548,0.385930001735687,0.517180025577545,0.479900002479553,0.462350010871887,0.547129988670349,0.542530000209808,0.556270003318787,0.436650007963181,0.443349987268448,0.425870001316071,0.3714399933815,..,0.330020010471344
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.069750003516674,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Croatia,HRV,1.04250001907349,0.917620003223419,0.940869987010956,0.940689980983734,1.02002000808716,0.847760021686554,0.733129978179932,0.784929990768433,0.878009974956512,0.835070013999939,0.732339978218079,0.738470017910004,0.739560008049011,0.79816997051239,0.772589981555939,0.828159987926483,0.849950015544891,0.847270011901855,0.951250016689301,1.07963001728058,1.24260997772217
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cuba,CUB,0.478650003671646,0.565299987792969,0.564450025558472,0.582430005073547,0.602310001850128,0.549199998378754,0.441390007734299,0.436150014400482,0.500609993934631,0.614849984645844,0.6076700091362,0.271919995546341,0.407160013914108,0.474669992923737,0.415960013866425,0.428539991378784,0.34222999215126,0.430660009384155,0.536909997463226,0.553080022335052,0.518379986286163
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cyprus,CYP,0.226899996399879,0.236939996480942,0.279670000076294,0.318340003490448,0.335640013217926,0.367269992828369,0.383459985256195,0.400070011615753,0.385939985513687,0.444370001554489,0.442919999361038,0.452630013227463,0.437649995088577,0.484849989414215,0.512049973011017,0.47529000043869,0.519699990749359,0.542590022087097,0.614049971103668,0.709500014781952,0.843869984149933
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Czechia,CZE,1.10996997356415,1.09870994091034,1.09818994998932,1.14209997653961,1.13935005664825,1.16100001335144,1.22541999816895,1.29571998119354,1.23357999324799,1.28656005859375,1.32669997215271,1.54477000236511,1.76967000961304,1.87924003601074,1.95833003520966,1.91689002513885,1.67002999782562,1.76855003833771,1.89906001091003,1.92734003067017,1.98599004745483
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Denmark,DNK,2.18619990348816,2.32466006278992,2.44145011901855,2.51084995269775,2.41915988922119,2.3933699131012,2.40300011634827,2.51540994644165,2.77345991134644,3.05514001846313,2.91706991195679,2.94464993476868,2.98125004768372,2.97047996520996,2.9140899181366,3.05497002601624,3.09282994270325,2.93124008178711,2.96602988243103,2.89685010910034,2.96872997283936
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ecuador,ECU,..,0.0515000000596046,0.0553399994969368,0.0573499985039234,..,..,0.128629997372627,0.131940007209778,0.227789998054504,0.394630014896393,0.402969986200333,0.339910000562668,0.332359999418259,0.379900008440018,0.442660003900528,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Egypt, Arab Rep.",EGY,0.192469999194145,..,..,..,0.269939988851547,0.241410002112389,0.259030014276505,0.255100011825562,0.270240008831024,0.433120012283325,0.433450013399124,0.531539976596832,0.508989989757538,0.638949990272522,0.636489987373352,0.718580007553101,0.708480000495911,0.644860029220581,0.688390016555786,0.796169996261597,0.915639996528625
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,El Salvador,SLV,..,..,..,..,..,..,..,0.105599999427795,0.133990004658699,0.0908999964594841,0.0780600011348724,0.0355000011622906,0.0339699983596802,0.0638699978590012,0.0937699973583221,0.143480002880096,0.144930005073547,0.180779993534088,0.165309995412827,0.174769997596741,0.162939995527267
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Estonia,EST,0.600000023841858,0.698390007019043,0.712029993534088,0.764649987220764,0.845839977264404,0.917050004005432,1.11276996135712,1.05874001979828,1.25188004970551,1.39679002761841,1.57898998260498,2.30521988868713,2.12480998039246,1.72412002086639,1.43023002147675,1.4677699804306,1.24305999279022,1.27684998512268,1.40998995304108,1.63145995140076,1.75092005729675
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.267540007829666,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ethiopia,ETH,..,..,..,..,..,0.179169997572899,..,0.170890003442764,..,..,0.241370007395744,..,..,0.604740023612976,..,..,..,0.274370014667511,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Faroe Islands,FRO,..,..,..,0.852530002593994,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Finland,FIN,3.24137997627258,3.19372010231018,3.25307989120483,3.29821991920471,3.30907011032104,3.32369995117188,3.33214998245239,3.33703994750977,3.53696990013123,3.73401999473572,3.70531988143921,3.61806011199951,3.3983199596405,3.27136993408203,3.14751005172729,2.87195992469788,2.72442007064819,2.72786998748779,2.75748991966248,2.79960989952087,2.91243004798889
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,France,FRA,2.09346008300781,2.13804006576538,2.17448997497559,2.11994004249573,2.09460997581482,2.05151009559631,2.05094003677368,2.0245099067688,2.06117010116577,2.21206998825073,2.17857003211975,2.19161009788513,2.22707009315491,2.23703002929688,2.27591991424561,2.2270200252533,2.22237992286682,2.1988799571991,2.19666004180908,2.19179010391235,2.28188991546631
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Gabon,GAB,..,..,..,..,..,..,..,0.416330009698868,0.510900020599365,0.579240024089813,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Gambia, The",GMB,..,..,..,..,..,..,..,..,0.0126099996268749,0.0108599998056889,..,0.0847999975085258,..,..,..,..,..,..,0.0693299993872643,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Georgia,GEO,0.215299993753433,0.238480001688004,0.185739994049072,0.217600002884865,0.244200006127357,0.176579996943474,..,..,..,..,..,..,..,0.0785600021481514,0.173179998993874,0.299279987812042,0.285860002040863,0.270229995250702,0.280519992113113,0.284680008888245,0.300799995660782
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Germany,DEU,2.40982007980347,2.40437006950378,2.4362199306488,2.47461009025574,2.43518996238708,2.44193005561829,2.47232007980347,2.4604799747467,2.61512994766235,2.74266004562378,2.73024010658264,2.80555009841919,2.88165998458862,2.8359899520874,2.87784004211426,2.9337899684906,2.94039011001587,3.04710006713867,3.11011004447937,3.16778993606567,3.12979006767273
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ghana,GHA,..,..,..,..,..,..,..,0.23157000541687,..,..,0.376549988985062,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Greece,GRC,..,0.559480011463165,..,0.546540021896362,0.527300000190735,0.578960001468658,0.561179995536804,0.576550006866455,0.661830008029938,0.625569999217987,0.603470027446747,0.684260010719299,0.710049986839294,0.814779996871948,0.839980006217957,0.966050028800964,1.00529003143311,1.15227997303009,1.21370995044708,1.27496004104614,1.5079300403595
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Greenland,GRL,..,0.527409970760345,0.556280016899109,0.508040010929108,0.646080017089844,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guam,GUM,..,..,..,0.26570001244545,0.25518000125885,0.256099998950958,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guatemala,GTM,..,..,..,..,..,0.0355600006878376,0.0500999987125397,0.0678199976682663,0.062899999320507,0.0562000013887882,0.0442100018262863,0.0489399991929531,0.0454300008714199,0.0391599982976913,0.0294899996370077,0.0306400004774332,0.0231100004166365,0.0295499991625547,0.0293799992650747,0.0264199990779161,0.0488799996674061
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
